gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
874778465				http://herbarium.univie.ac.at/database/image.php?filename=194842&method=show										
1039476880				http://deliver.odai.yale.edu/content/repository/YPM/id/17954/format/2										
1039473612				http://deliver.odai.yale.edu/content/repository/YPM/id/125041/format/3										
1039473984				http://deliver.odai.yale.edu/content/repository/YPM/id/17953/format/3										
1039085634				http://deliver.odai.yale.edu/content/repository/YPM/id/132169/format/3										
1039086150				http://deliver.odai.yale.edu/content/repository/YPM/id/38639/format/3										
1039082835				http://deliver.odai.yale.edu/content/repository/YPM/id/101430/format/3										
1039120359				http://deliver.odai.yale.edu/content/repository/YPM/id/311197/format/3										
1039116705				http://deliver.odai.yale.edu/content/repository/YPM/id/410455/format/3										
1039193279				http://deliver.odai.yale.edu/content/repository/YPM/id/170430/format/3										
1039200012				http://deliver.odai.yale.edu/content/repository/YPM/id/132223/format/3										
1039528174				http://deliver.odai.yale.edu/content/repository/YPM/id/323984/format/2										
1038930457				http://deliver.odai.yale.edu/content/repository/YPM/id/218838/format/3										
1038963969				http://deliver.odai.yale.edu/content/repository/YPM/id/220573/format/3										
1039165933				http://deliver.odai.yale.edu/content/repository/YPM/id/169576/format/3										
1039177211				http://deliver.odai.yale.edu/content/repository/YPM/id/101431/format/3										
1039179327				http://deliver.odai.yale.edu/content/repository/YPM/id/170261/format/3										
436743751	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2010/07/07/5/PC0108526.jpg											
436944257	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2010/07/07/5/PC0108526.jpg											
436886836	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2010/07/07/5/PC0108527.jpg											
438308855	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/9/P00242719.jpg											
437310865	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/9/P00242718.jpg											
437975272	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/7/P00242906.jpg											
438308856	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/9/P00242716.jpg											
436977607	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/9/P00242717.jpg											
437910495	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/8/P00242696.jpg											
437975271	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/7/P00242907.jpg											
436976999	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/05/7/P00242908.jpg											
439308844	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/04/12/P00243397.jpg											
437577645	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/04/12/P00243347.jpg											
439243315	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/04/12/P00243348.jpg											
438309062	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/04/12/P00243396.jpg											
439159025	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/09/21/7/P00232445.jpg											
439492105	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/09/21/7/P00232447.jpg											
439159026	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/09/21/7/P00232446.jpg											
437201655	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/6/P00234181.jpg											
437534345	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/6/P00234178.jpg											
439532754	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/7/P00234179.jpg											
437869096	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/6/P00234173.jpg											
439199709	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/7/P00234182.jpg											
438867995	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/20/7/P00234175.jpg											
439492247	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2011/10/07/11/P00236765.jpg											
438638974	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/11/26/1/P00214593.jpg											
438310900	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/10/30/6/P00275004.jpg											
438310901	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/10/30/6/P00275005.jpg											
439310623	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/10/31/1/P00275042.jpg											
437977876	StillImage	image/jpeg	http://sonneratphoto.mnhn.fr/2012/10/30/6/P00275007.jpg											
