catalogNumber,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,dateIdentified,country,stateProvince,verbatimLocality,AnnotatorLocality
JHFN1-3-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Say Phoebe,Sayornis saya,'1905-07-28,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,siskin,Carduelis pinus,'1905-07-28,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,America Robin,Turdus migratorius,'1905-07-28,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Northern Flicker,Colaptes auratus,'1905-07-28,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-E,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Say Phoebe,Sayornis saya,'1905-07-29,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-F,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,America Robin,Turdus migratorius,'1905-07-29,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-G,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Say Phoebe,Sayornis saya,'1905-07-30,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-H,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pine Siskin,Carduelis pinus,'1905-07-31,United States of America,Colo,"Boulder, Colo","Boulder, Colorado"
JHFN1-3-I,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Kingbird,Tyrannus ,'1905-07-31,United States of America,Colo,Denver,"Denver, Colorado"
JHFN1-3-J,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,America Robin,Turdus migratorius,'1905-07-31,United States of America,Colo,Denver,"Denver, Colorado"
JHFN1-4-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pine,Pinus,'1905-07-31,United States of America,Colo,New Mexico,New Mexico
JHFN1-5-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,pine,Pinus,'1905-07-31,United States of America,Colo,New Mexico,New Mexico
JHFN1-5-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,oak,Quercus,'1905-07-31,United States of America,Colo,New Mexico,New Mexico
JHFN1-6-A,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,Magpies,'1905-07-31,United States of America,Colo,Colo. Springs,"Colorado Springs, Colorado"
JHFN1-6-B,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,redwing blackbirds,Red-winged Blackbird,'1905-07-31,United States of America,Colo,Colo. Springs,"Colorado Springs, Colorado"
JHFN1-6-C,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Mourning Doves,Zenaida macroura,'1905-07-31,United States of America,Colo,Colo. Springs,"Colorado Springs, Colorado"
JHFN1-6-D,http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Dippers,Dipper,'1905-07-31,United States of America,Colo,Manitou,"Manitou Springs, Colorado"
